,yield_curve,consumer_conf,jobless_claims,lei,gdp_real,cpi,unemployment,nber_recession,ism_pmi
2000-01-31,0.07,112.0,289000.0,1.61,13878.147,169.3,4.0,0.0,65.94159263846163
2000-02-29,-0.11,111.3,293750.0,1.48,13878.147,170.0,4.1,0.0,65.94159263846163
2000-03-31,-0.47,107.1,274750.0,1.88,13878.147,171.0,4.0,0.0,66.00297384336733
2000-04-30,-0.45,109.2,273000.0,2.13,14130.908,170.9,3.8,0.0,65.99274364254971
2000-05-31,-0.4,110.7,282250.0,1.85,14130.908,171.2,4.0,0.0,65.9211322368264
2000-06-30,-0.35,106.4,291000.0,1.26,14130.908,172.2,4.0,0.0,65.97910337479289
2000-07-31,-0.26,108.3,298500.0,0.99,14145.312,172.7,4.0,0.0,66.07117518215145
2000-08-31,-0.45,107.3,312750.0,1.05,14145.312,172.7,4.1,0.0,65.95182283927925
2000-09-30,-0.18,106.8,300000.0,1.06,14145.312,173.6,3.9,0.0,65.7540389568053
2000-10-31,-0.17,105.8,301000.0,1.19,14229.765,173.9,3.9,0.0,65.71311815353482
2000-11-30,-0.13,107.6,334250.0,0.97,14229.765,174.2,3.9,0.0,65.66196714944674
2000-12-31,0.01,98.4,348000.0,0.8,14229.765,174.6,3.9,0.0,65.59035574372342
2001-01-31,0.57,94.7,340000.0,0.95,14183.12,175.6,4.2,0.0,65.33119065634376
2001-02-28,0.51,90.6,371250.0,0.66,14183.12,176.0,4.2,0.0,65.07543563590333
2001-03-31,0.75,91.5,388000.0,0.46,14183.12,176.1,4.3,0.0,64.76170947749638
2001-04-30,1.05,88.4,396750.0,0.26,14271.694,176.4,4.4,1.0,64.29794037376438
2001-05-31,1.21,92.0,394500.0,0.44,14271.694,177.3,4.3,1.0,63.813710868397145
2001-06-30,1.17,92.6,395000.0,0.6,14271.694,177.7,4.5,1.0,63.312431028333876
2001-07-31,1.28,92.4,398000.0,0.28,14214.516,177.4,4.6,1.0,62.8623021923587
2001-08-31,1.21,91.5,398000.0,0.39,14214.516,177.4,4.9,1.0,62.357612285356225
2001-09-30,1.74,81.8,443250.0,-0.08,14214.516,178.1,5.0,1.0,61.95863445346913
2001-10-31,1.86,82.7,480750.0,-0.32,14253.574,177.6,5.3,1.0,61.47099488116269
2001-11-30,1.94,83.9,447500.0,-0.4,14253.574,177.5,5.5,1.0,60.96630497416022
2001-12-31,2.0,88.8,404750.0,-0.05,14253.574,177.4,5.7,0.0,60.580967410029956
2002-01-31,1.91,93.0,408500.0,0.53,14372.785,177.7,5.7,0.0,60.15811910956842
2002-02-28,1.82,90.7,399000.0,0.71,14372.785,178.0,5.7,0.0,59.91941442382401
2002-03-31,1.7,95.7,421250.0,0.51,14372.785,178.5,5.7,0.0,59.66365940338356
2002-04-30,1.87,93.0,429250.0,0.61,14460.848,179.3,5.9,0.0,59.489745989484064
2002-05-31,1.86,96.9,409000.0,0.73,14460.848,179.5,5.8,0.0,59.30560237476695
2002-06-30,1.96,92.4,389500.0,0.99,14460.848,179.6,5.8,0.0,59.1657896302595
2002-07-31,2.28,88.1,386000.0,1.12,14519.633,180.0,5.8,0.0,59.02597688575206
2002-08-31,2.0,87.6,395000.0,0.91,14519.633,180.5,5.7,0.0,58.73612119591956
2002-09-30,1.91,86.1,409500.0,0.97,14519.633,180.8,5.7,0.0,58.55879771508086
2002-10-31,2.25,80.6,407500.0,0.88,14537.58,181.2,5.7,0.0,58.3541936987285
2002-11-30,2.14,84.2,389000.0,0.72,14537.58,181.5,5.9,0.0,58.1257192138017
2002-12-31,2.22,86.7,414250.0,0.66,14537.58,181.8,6.0,0.0,57.84950379172603
2003-01-31,2.28,82.4,395000.0,0.91,14614.141,182.6,5.8,0.0,57.69946084640097
2003-02-28,2.18,79.9,411000.0,0.69,14614.141,183.6,5.9,0.0,57.402785022690054
2003-03-31,2.32,77.6,425250.0,0.47,14614.141,183.9,5.9,0.0,57.2015910732769
2003-04-30,2.38,86.0,436250.0,0.26,14743.567,183.2,6.0,0.0,56.81625350914664
2003-05-31,2.04,92.1,423000.0,0.47,14743.567,182.9,6.1,0.0,56.645750162186346
2003-06-30,2.22,89.7,421750.0,0.56,14743.567,183.1,6.3,0.0,56.42409581113796
2003-07-31,2.69,90.9,411500.0,0.93,14988.782,183.7,6.2,0.0,56.11718978660943
2003-08-31,2.5,89.3,400000.0,1.13,14988.782,184.5,6.1,0.0,56.02511797925087
2003-09-30,2.46,87.7,395500.0,1.49,14988.782,185.1,6.1,0.0,55.92281597107469
2003-10-31,2.48,89.6,382000.0,1.56,15162.76,184.9,6.0,0.0,55.881895167804224
2003-11-30,2.28,93.7,363000.0,1.53,15162.76,185.0,5.8,0.0,55.82051396289852
2003-12-31,2.43,92.6,358250.0,1.78,15162.76,185.5,5.7,0.0,55.76254282493202
2004-01-31,2.32,103.8,361250.0,1.51,15248.68,186.3,5.7,0.0,55.73526228941837
2004-02-29,2.33,94.4,360750.0,1.47,15248.68,186.7,5.6,0.0,55.6943414861479
2004-03-31,2.26,95.8,342000.0,1.61,15248.68,187.1,5.8,0.0,55.721622021661545
2004-04-30,2.22,94.2,348250.0,1.64,15366.85,187.4,5.6,0.0,55.81710389595931
2004-05-31,2.12,90.2,339250.0,1.8,15366.85,188.2,5.6,0.0,55.90917570331787
2004-06-30,1.92,95.6,349000.0,1.53,15366.85,188.9,5.6,0.0,55.881895167804224
2004-07-31,1.82,96.7,347250.0,1.57,15512.619,189.1,5.5,0.0,55.87166496698661
2004-08-31,1.72,95.9,340750.0,1.47,15512.619,189.2,5.4,0.0,55.91940590413549
2004-09-30,1.51,94.2,337250.0,1.38,15512.619,189.8,5.4,0.0,55.87507503392581
